Agency code	Agency title	Established Year	Disestablished Year
Central government agency                  			
AAAC	Department of Internal Affairs, Head Office	1840	current
AAAD	Department of Education, Head Office	1878	1989
AAAJ	New Zealand Police, National Headquarters	1886	current
AAAK	Department of External Affairs	1919	1943
AAAL	Army Department	1937	1964
AAAM	Department of Internal Affairs - War History Branch	1945	1963
AAAN	Cook Islands Administration Department, Head Office	1912	1920
AAAP	Department of Island Territories, Head Office	1943	1968
AAAX	Department of Agriculture, Industries, and Commerce, Head Office	1912	1920
AAAY	Department of Agriculture, Commerce, and Tourists, Head Office	1909	1912
AAAZ	Department of Agriculture, Head Office	1892	1909
AABA	Department of Crown Lands - Stock Branch	1887	1892
AABB	Department of Crown Lands - Agricultural Branch	1885	1892
AABC	Colonial Secretary's Office - Stock Branch	1878	1887
AABD	Crown Lands Department, Head Office	1858	1891
AABG	Ministry of Agriculture and Forestry, Palmerston Regional North Office	1972	c. 2005
AABJ	Department of Agriculture, Masterton Office	1920	1972
AABL	Department of Agriculture, Palmerston North Regional Office	c. 1893	1972
AABN	Tourist and Publicity Department, Head Office	1946	1991
AABO	Department of Tourist and Health Resorts, Head Office	1901	1909
AACU	Dominion Archives of New Zealand	1926	1954
AACV	Ministry of Agriculture and Fisheries, Masterton Office	1972	1987
AACW	Registrar of Brands, Palmerston North	c. 1881	c. 1893
AACY	Department of Industries and Commerce, Head Office	1894	1909
AACZ	Department of Agriculture, Commerce, and Tourists - Tourist Division	1909	1912
AADI	Wanganui Chief Post Office	1854	1987
AADK	Department of Social Welfare, Corporate Office	1972	1999
AADL	Broadcasting Corporation of New Zealand, Head Office	1977	1988
AADO	Ministry of Energy - Electricity Division	1978	1987
AADS	Department of Lands and Survey, Head Office	1891	1987
AADX	Ministry of Works and Development, Head Office	1870	1988
AADY	New Zealand Forest Service, Head Office	1919	1987
AAEC	Inland Revenue Department, National Office	1952	current
AAED	Community Probation Service, Wellington District Office	? 1886	current
AAEG	Ministry of Foreign Affairs, Head Office	1943	1988
AAFD	Cabinet Office	c. 1948	current
AAFI	New Zealand Electricity Department, Head Office	1946	1978
AAFK	New Zealand Broadcasting Service, Head Office	1936	1962
AAFS	National Commercial Broadcasting Service, Head Office	1936	1943
AAFZ	Ministry of Agriculture and Fisheries, Head Office	1972	1995
AAGP	Survey Department, Otago	? 1853	? 1891
AAGT	Crown Lands Department, Dunedin	? 1851	? 1891
AAHY	Education Review Office, Corporate Office	1989	current
AAIO	Child, Youth and Family, Wanganui District Office	1992	current
AAKO	Child, Youth and Family, Blenheim District Office 	1992	current
AAKP	Child, Youth and Family, Palmerston North District Office	1992	current
AAKU	Department of the Prime Minister and Cabinet	1989	current
AALA	Prime Minister's Department	? 1853	1989
AALC	Department of Lands and Survey, Napier District Office	? 1891	1987
AALD	Department of Lands and Survey, New Plymouth District Office	1891	1987
AALE	Post Office Headquarters	? 1858	1987
AALI	Palmerston North Chief Post Office	1871	1987
AALL	Electric Telegraph Department	1865	1881
AALN	New Zealand Customs Service, Head Office	1845	current
AALO	Department of Scientific and Industrial Research - Chemistry Division, Head Office	1865	1992
AALQ	New Zealand Milk Board, Palmerston North District Office	1953	1988
AAMI	Department of Lands and Survey, Wellington District Office	1891	1987
AAMK	Department of Maori Affairs, Head Office	1906	1989
AAMV	New Zealand Police, Palmerston North	1917	current
AAMW	Hastings District Court	1885	current
AAMZ	New Zealand Police, Wellington District Headquarters	1917	current
AANK	Department of Labour, Head Office	1891	current
AANS	Department of Conservation, Head Office	1987	current
AANZ	Television One, Headquarters	1973	1980
AAOL	Department of Lands and Survey, Nelson District Office	1891	1987
AAOR	Mines Department, Head Office	1878	1978
AAPO	Ministry of Works - Housing Division	1936	1974
AAPR	Ministry of Transport, Head Office	1968	1992
AAQA	Ministry of Forestry, Head Office	1987	1998
AAQD	Department of Education, Central Regional Office	1961	1989
AAQE	Department of Labour, Palmerston North Regional Office	1892	2012
AAQS	New Zealand Police, Hastings Police Station	1917	current
AARB	Survey Office Blenheim	? 1866	1891
AARM	Ministry of Defence	1990	current
AARN	Community Probation Service, Wellington Area Office	1997	current
AASB	Child, Youth and Family, Hastings District Office	1992	current
AASC	Child, Youth and Family, Napier District Office	1992	current
AATJ	Ministry of Economic Development, Head Office	1988	2012
AATL	Rehabilitation Department, Head Office	1943	1954
AATN	Rehabilitation Department, Dannervirke Office	1943	c. 1953
AATT	Department of Internal Affairs, Napier Rehabilitation Office 	1943	1956
AATZ	Social Security Department, Wellington Rehabilitation Office	1943	? 1972
AAUC	Ministry of Energy - Mines Division	1978	1987
AAUE	National Service Department, Head Office	1940	1946
AAUK	Ministry of Energy Resources, Head Office	1972	1978
AAUL	Ministry of Energy - Energy Trading Division	1986	1989
AAUM	Ministry for the Environment, Head Office	1986	current
AAUN	State Insurance Investment Board	1905	1990
AAUR	Government Printing Office	1864	1990
AAUS	Ministry for the Environment, Central Regions Unit	c. 1987	c. 2001
AAUW	Land Titles Office, New Plymouth	1841	? 1996
AAVB	Headquarters, Otago Military District	1911	1921
AAVI	Valuation New Zealand, National Office	1896	1998
AAWD	Department of Labour, Napier Regional Office	1896	2012
AAWU	Marine Department, Head Office	1866	1972
AAXQ	New Zealand Defence Force - RNZAF Base, Woodbourne	? 1939	current
AAYC	New Zealand Milk Board, Hamilton District Office	1957	1988
AAYG	Government Communications Security Bureau, Head Office	1977	current
