title	url	agency	description	instant_access	license	cost	format
Electricity Commission Centralised Dataset	http://cat.open.org.nz/2009/06/27/electricity-commission-centralised-dataset/	Electricity Commission			Restrictive		[other](http://www.electricitycommission.govt.nz/opdev/modelling/centraliseddata/index.html)
Annual Residential and Commercial Electricity Price Survey	http://cat.open.org.nz/2009/06/23/annual-residential-and-commercial-electricity-price-survey/	Ministry of Economic Development			Unknown		[xls](http://www.med.govt.nz/templates/MultipageDocumentTOC____40256.aspx),[csv](http://www.med.govt.nz/templates/MultipageDocumentTOC____40256.aspx)
Auckland Google Transit Feed	http://cat.open.org.nz/2010/04/13/auckland-google-transit-feed/	Other (Specify in description)			Restrictive		[other](http://www.maxx.co.nz/information/about-maxx/google-transit-feed.html)
Authoritative Streets and Names (ASP)	http://cat.open.org.nz/2009/07/02/authoritative-streets-and-names-asp/	Land Information New Zealand			Unknown		[csv](http://www.linz.govt.nz/placenames/electoral-streets-places/index.aspx),[other](http://www.linz.govt.nz/placenames/electoral-streets-places/index.aspx)
Bank disclosure information	http://cat.open.org.nz/2009/08/12/bank-disclosure-information/	Reserve Bank of New Zealand			Unknown		[xls](http://www.rbnz.govt.nz/statistics/banksys/index.html)
Census of population and dwellings	http://cat.open.org.nz/2009/06/04/census-of-population-and-dwellings/	Statistics New Zealand			Unknown		[csv](http://www.stats.govt.nz/census/census-outputs/default.htm),[geo](http://www.stats.govt.nz/census/census-outputs/default.htm),[other](http://www.stats.govt.nz/census/census-outputs/default.htm)
Company Office Company, Director, Shareholder, Banned Directors &amp; Manager Search	http://cat.open.org.nz/2009/06/07/company-office-company-director-shareholder-banned-directors-manager-search/	Ministry of Economic Development			Restrictive		[api](http://www.companies.govt.nz/cms/how-do-i/search-the-register/connect-direct/get-connected?searchterm=g2b)
Crown Minerals Technical Data	http://cat.open.org.nz/2009/08/29/crown-minerals-technical-data/	Ministry of Economic Development			Unknown		[geo](https://data.crownminerals.govt.nz/MEDGUEST/apps/user/_map/Map.aspx?sWSID=MEDM&sMAPID=7&ixAppID=28)
Daily and weekly average prices of crude oil, petrol and diesel	http://cat.open.org.nz/2009/06/23/daily-and-weekly-average-prices-of-crude-oil-petrol-and-diesel/	Ministry of Economic Development			Unknown		[xls](http://www.med.govt.nz/templates/MultipageDocumentTOC____39564.aspx),[csv](http://www.med.govt.nz/templates/MultipageDocumentTOC____39564.aspx)
Data Tables for Coal	http://cat.open.org.nz/2009/06/27/data-tables-for-coal/	Ministry of Economic Development			Crown Copyright		[xls](http://www.med.govt.nz/templates/StandardSummary____21117.aspx),[csv](http://www.med.govt.nz/templates/StandardSummary____21117.aspx)
Data tables for Electricity	http://cat.open.org.nz/2009/06/27/data-tables-for-electricity/	Ministry of Economic Development			Crown Copyright		[xls](http://www.med.govt.nz/templates/StandardSummary____21414.aspx),[csv](http://www.med.govt.nz/templates/StandardSummary____21414.aspx)
Data tables for Gas	http://cat.open.org.nz/2009/06/27/data-tables-for-gas/	Ministry of Economic Development			Crown Copyright		[xls](http://www.med.govt.nz/templates/StandardSummary____21214.aspx),[csv](http://www.med.govt.nz/templates/StandardSummary____21214.aspx)
Data Tables for Oil	http://cat.open.org.nz/2009/06/23/data-tables-for-oil/	Ministry of Economic Development			Unknown		[xls](http://www.med.govt.nz/templates/StandardSummary____21116.aspx),[csv](http://www.med.govt.nz/templates/StandardSummary____21116.aspx)
Data Tables for Renewables	http://cat.open.org.nz/2009/06/27/data-tables-for-renewables/	Ministry of Economic Development			Crown Copyright		[xls](http://www.med.govt.nz/templates/StandardSummary____21256.aspx),[csv](http://www.med.govt.nz/templates/StandardSummary____21256.aspx)
Designated terrorist individuals and organisations	http://cat.open.org.nz/2009/08/06/designated-terrorist-individuals-and-organisations/	New Zealand Police			Unknown		[xls](http://www.police.govt.nz/service/counterterrorism/designated-terrorists.html)
DigitalNZ API	http://cat.open.org.nz/2009/07/14/digitalnz-api/	National Library of New Zealand Te Puna MÄ			Unknown		[api](http://digitalnz.org/develop)
Early Childhood Education Directory	http://cat.open.org.nz/2009/05/27/early-childhood-education-directory/	Ministry of Education			Unknown		[xls](http://www.educationcounts.govt.nz/__data/assets/excel_doc/0004/42079/DIRECTORY-ECE_Web.xls),[csv](http://www.educationcounts.govt.nz/__data/assets/file/0016/42082/Early-Childhood-Directory.csv)
Earthquake Hypocentres	http://cat.open.org.nz/2009/08/29/earthquake-hypocentres/	Institute of Geological and Nuclear Sciences Limited (GNS Science)			Crown Copyright		[csv](http://data.geonet.org.nz/QuakeSearch/index.jsp),[geo](http://data.geonet.org.nz/QuakeSearch/index.jsp)
Economic indicators	http://cat.open.org.nz/2009/08/12/economic-indicators/	Reserve Bank of New Zealand			Unknown		[xls](http://www.rbnz.govt.nz/statistics/econind/index.html)
Energy Use 2002-2005 Report tables	http://cat.open.org.nz/2009/06/27/energy-use-2002-2005-report-tables/	Statistics New Zealand			Crown Copyright		[xls](http://www.stats.govt.nz/NR/rdonlyres/F570747E-D396-4229-8049-1FD8BA43F65B/0/EnergyandtheEconomy19972006supplementarytablesExcel232KB.xls)
