title	url	description	category
Data.govt.nz	http://data.govt.nz	contains over 3,400 datasets from various Government departments, including LINZ, National Library, ACC, Police, various District Councils.  There were 247 datasets marked as either updated or newly added  between 1st June 2015 & 14th June 2015.	NZ Data – Government
Statistics New Zealand	http://nzdotstat.stats.govt.nz/wbos/Index.aspx		NZ Data – Government
Wanganui District Council – full datasets	http://wdc.wanganui.govt.nz/odata/xml/index.html		NZ Data – Government
Wanganui District Council GIS data	http://maps.wanganui.govt.nz/geoserver/web/;jsessionid=h7wgq0v25vjm?wicket:bookmarkablePage=:org.geoserver.web.demo.MapPreviewPage		NZ Data – Government
Wanganui District Council – Cemetery search	http://www.wanganui.govt.nz/our-services/cemeteries-and-crematorium/Pages/Cemetery-Search.aspx		NZ Data – Government
Wanganui District Council – Property/Rating search	http://www.wanganui.govt.nz/our-services/property-and-rates/rating-and-valuations/Pages/default.aspx		NZ Data – Government
Wanganui District Council – Food Grading search	http://www.wanganui.govt.nz/our-services/do-it-online/food-grading-search/Pages/default.aspx		NZ Data – Government
Education Counts Data Collections	https://www.educationcounts.govt.nz/data-services/data-collections	Ministry of Education (MOE)	NZ Data – Government
Education Counts – Statistics	http://www.educationcounts.govt.nz/statistics		NZ Data – Government
Inland Revenue (IRD) Tax Statistics	http://www.ird.govt.nz/aboutir/external-stats/tax-statistics-sitemap.html		NZ Data – Government
Land Information New Zealand (LINZ)	https://data.linz.govt.nz/		NZ Data – Government
Statistics NZ – DataHub table viewer	http://nzdotstat.stats.govt.nz/wbos/Index.aspx		NZ Data – Government
Statistic NZ – Browse for statistics	http://statistics.govt.nz/browse_for_stats.aspx		NZ Data – Government
Ministry of Social Development (MSD) Statistics Page	https://www.msd.govt.nz/about-msd-and-our-work/publications-resources/statistics/index.html		NZ Data – Government
Ministry of Social Development (MSD) Benefits data tables	https://www.msd.govt.nz/about-msd-and-our-work/publications-resources/statistics/benefit/index.html#Datatables6		NZ Data – Government
Ministry of Social Development (MSD) Social housing register	http://www.housing.msd.govt.nz/information-for-housing-providers/register/index.html		NZ Data – Government
New Zealand Police Crime statistics	http://www.police.govt.nz/about-us/publications/statistics		NZ Data – Government
Ministry of Justice (MoJ) Conviction data	http://datalab.justice.govt.nz/data#1		NZ Data – Government
Ministry of Health (MoH) Health statistics and data sets	http://www.health.govt.nz/nz-health-statistics/health-statistics-and-data-sets		NZ Data – Government
Wellington City Council (WCC) GIS data	http://data.wcc.opendata.arcgis.com/		NZ Data – Government
Land Air Water Aotearoa (LAWA) Natural resources data	http://www.lawa.org.nz/		NZ Data – Government
New Zealand Qualifications Authority (NZQA) Secondary School Stats	http://www.nzqa.govt.nz/studying-in-new-zealand/secondary-school-and-ncea/find-information-about-a-school/secondary-school-statistics/consolidated-files/		NZ Data – Government
Ministry of Transport, transport data	http://www.transport.govt.nz/ourwork/tmif/		NZ Data – Government
Department of Conservation (DoC) facilities	http://geoportal.doc.govt.nz/geoportal/catalog/search/browse/browse.page		NZ Data – Government
Government A-Z directory and Consultation Listing	https://www.govt.nz/about/api	Department of Internal Affairs (DIA)	NZ Data – Government
New Zealand Gazette	http://www.digitalnz.org/developers/govhack-infopack#gazette	Department of Internal Affairs (DIA)  (via DigitalNZ API)	NZ Data – Government
DigitalNZ API	http://www.digitalnz.org/developers/govhack-infopack	Department of Internal Affairs (DIA) – National Library of New Zealand	NZ Data – Government
Papers Past	http://natlib.govt.nz/about-us/open-data/papers-past-metadata	Department of Internal Affairs (DIA) – National Library of New Zealand  (via DigitalNZ API)	NZ Data – Government
Turnbull unpublished collections	http://natlib.govt.nz/about-us/open-data/turnbull-unpublished-collections-metadata	Department of Internal Affairs (DIA) – National Library of New Zealand  (via DigitalNZ API)	NZ Data – Government
WWI related data	http://www.digitalnz.org/developers/wwi-api-examples	Department of Internal Affairs (DIA) – National Library of New Zealand  (via DigitalNZ API)	NZ Data – Government
Publications New Zealand	http://natlib.govt.nz/about-us/open-data/publications-nz-metadata	Department of Internal Affairs (DIA) – National Library of New Zealand	NZ Data – Government
