title	url
The mothership: data.govt.nz	http://data.govt.nz
Overview of NZ's Official Statistics System: statisphere.govt.nz	http://www.statisphere.govt.nz
Directory of NZ-related digital content: digitalnz.org	http://www.digitalnz.org
National Library's open data page	http://natlib.govt.nz/about-us/open-data/
Ministry of Health Statistics	http://www.health.govt.nz/nz-health-statistics
Statistics NZ - NZ.Stat  1. 2013 Census meshblock dataset (highest priority)  2. 2006 Census meshblock dataset  3. 2006 Census CURF?	http://nzdotstat.stats.govt.nz/wbos/Index.aspx
Land Information NZ Data Service	https://data.linz.govt.nz/
Landcare Research Land Resource Information System	https://lris.scinfo.org.nz/
Ministry of Transport Statistics	http://www.transport.govt.nz/research/
Wellington City Council Open Data Portal	http://data.wcc.opendata.arcgis.com/
Otago Regional Council Open Data Portal	http://data.orc.govt.nz/
Archives NZ Open Data page	http://archives.govt.nz/open-data
Ministry of Justice Datalab page on Convictions	http://datalab.justice.govt.nz/
Regional councils shared environmental data platform Land, Air, Water Aotearoa (LAWA)# Links to specific datasets maintained by government entities	http://www.lawa.org.nz/
Charities Register	https://www.charities.govt.nz/charities-in-new-zealand/the-charities-register/advanced-search/
MSD Contracts	http://map.contractmapping.govt.nz/
IRD Tax Statistics	http://www.ird.govt.nz/aboutir/external-stats/tax-statistics-sitemap.html
(Environmental Science and Research, ESR) Public Health Surveillance	https://surv.esr.cri.nz/surveillance/annual_surveillance.php
Police Victims of Crime Statistics	http://www.police.govt.nz/about-us/publication/new-recorded-crime-victimisation-statistics-rcvs
Canterbury Maps	http://opendata.canterburymaps.govt.nz/
NZTA Crash Analysis System (CAS) data	http://www.nzta.govt.nz/resources/crash-analysis-system-data/index.html
Education Counts Statistics Page, run by Ministry of Education	http://www.educationcounts.govt.nz/statistics
